Карта физических каналов — 04 22 Даниловский

ПРИХОЖАЯ
Канал | Назначение
wb-mr6c_138/K1 | гр.301, точечный свет 1
wb-mr6c_138/K2 | гр.301.1, точечный свет 2
wb-mr6c_138/K3 | гр.302, подвесной свет
wb-led_11/CCT1 | гр.301.2, подсветка потолка
wb-led_11/CCT1 Brightness | яркость гр.301.2
wb-led_11/CCT1 Temperature | цветовая температура гр.301.2
КУХНЯ-ГОСТИНАЯ
Канал | Назначение
wb-mr6c_206/K1 | гр.333.4, бра
wb-mr6c_206/K2 | гр.305, люстра 1
wb-mr6c_206/K3 | гр.308, люстра 2 / точечные
wb-mr6c_206/K4 | гр.307, люстра 3
wb-mr6c_206/K5 | гр.304, вытяжной вентилятор
wb-led_239/Channels 3_4 | гр.333, подсветка потолка/мебели
wb-led_239/Channels 3_4 Brightness | яркость гр.333
wb-led_40/CCT1 | гр.333.1, малая потолочная подсветка
wb-led_40/CCT1 Brightness | яркость гр.333.1
wb-led_40/CCT1 Temperature | цветовая температура гр.333.1
wb-led_37/CCT1 | гр.333.2, большая потолочная подсветка
wb-led_37/CCT1 Brightness | яркость гр.333.2
wb-led_37/CCT1 Temperature | цветовая температура гр.333.2
wb-led_52/CCT1 | гр.333.3, рабочая зона
wb-led_52/CCT1 Brightness | яркость гр.333.3
wb-led_52/CCT1 Temperature | цветовая температура гр.333.3
wb-led_52/CCT2 | гр.3333, подсветка мебели
wb-led_52/CCT2 Brightness | яркость гр.3333
wb-led_52/CCT2 Temperature | цветовая температура гр.3333
ХОЛЛ
Канал | Назначение
wb-mr6c_156/K5 | гр.309, точечный свет
ДУШЕВАЯ / МАЛЕНЬКИЙ САНУЗЕЛ
Канал | Назначение
wb-mr6c_156/K6 | гр.310, потолочный свет
wb-mr6c_117/K1 | гр.310.1, зеркало
wb-mr6c_117/K2 | гр.331, вытяжной вентилятор
wb-led_42/Channels 3_4 | гр.330, подсветка потолка/мебели
wb-led_42/Channels 3_4 Brightness | яркость гр.330
wb-msw-v4_57/Temperature | температура
wb-msw-v4_57/Humidity | влажность
СПАЛЬНЯ
Канал | Назначение
wb-mr6c_156/K1 | гр.312, основной свет
wb-mr6c_156/K2 | гр.329.1, подвес 1
wb-mr6c_156/K3 | гр.329.2, подвес 2
wb-mr6c_156/K4 | гр.338, настенный свет
wb-led_23/CCT2 | гр.311.1, вертикальная подсветка
wb-led_23/CCT2 Brightness | яркость гр.311.1
wb-led_23/CCT2 Temperature | цветовая температура гр.311.1
wb-led_42/CCT1 | гр.311, потолок/мебель
wb-led_42/CCT1 Brightness | яркость гр.311
wb-led_42/CCT1 Temperature | цветовая температура гр.311
ONOKOM-AIR-GR-1-MB-B_4/* | кондиционер спальни
КЛАДОВАЯ
Канал | Назначение
wb-mr6c_138/K6 | гр.315, потолочный свет
wb-led_26/CCT2 | гр.315.1, подсветка мебели
wb-led_26/CCT2 Brightness | яркость гр.315.1
wb-led_26/CCT2 Temperature | цветовая температура гр.315.1
wb-mr6c_218/K1 | гр.328, вытяжной вентилятор
ВАННАЯ / БОЛЬШОЙ САНУЗЕЛ
Канал | Назначение
wb-mr6c_218/K2 | гр.316, потолочный свет
wb-mr6c_218/K3 | гр.336, зеркало
wb-mr6c_218/K4 | гр.326, вытяжной вентилятор
wb-led_11/CCT2 | гр.327, подсветка мебели/ванны
wb-led_11/CCT2 Brightness | яркость гр.327
wb-led_11/CCT2 Temperature | цветовая температура гр.327
ДЕТСКАЯ ДЕВОЧКИ
Канал | Назначение
wb-mr6c_203/K1 | гр.317, общий свет
wb-mr6c_203/K2 | гр.320, подвес у тумбы
wb-mr6c_203/K3 | 104.2, управляемая розетка
wb-led_58/RGB Strip | гр.319, RGBW-панно
wb-led_58/RGB Palette | цвет гр.319
wb-led_58/RGB Strip Brightness | яркость RGB гр.319
wb-led_58/Channel 4 | белый канал гр.319
wb-led_13/RGB Strip | гр.320.1, RGBW потолок/мебель
wb-led_13/RGB Palette | цвет гр.320.1
wb-led_13/RGB Strip Brightness | яркость RGB гр.320.1
wb-led_13/Channel 4 | белый канал гр.320.1
ONOKOM-AIR-GR-1-MB-B_2/* | кондиционер
ДЕТСКАЯ МАЛЬЧИКА
Канал | Назначение
